iter	Logloss
0	0.6783433517
1	0.6657002025
2	0.6534798736
3	0.6407770664
4	0.6301876415
5	0.6190839953
6	0.6092106099
7	0.5993230091
8	0.5906066755
9	0.5827207311
10	0.5742010406
11	0.5666321707
12	0.559893346
13	0.5529873159
14	0.5462497817
15	0.5401356931
16	0.5347818905
17	0.5290505013
18	0.5248213615
19	0.5200668604
20	0.5155735071
21	0.5109256842
22	0.5077259583
23	0.5040979966
24	0.5001964578
25	0.4969061939
26	0.4940498558
27	0.4909944175
28	0.4881763822
29	0.4846263111
30	0.4823877796
31	0.4794597642
32	0.4764578894
33	0.4735173018
34	0.4704955851
35	0.4683034422
36	0.4657919835
37	0.463641494
38	0.4620248781
39	0.4597375678
40	0.4585822561
41	0.4567777657
42	0.455146196
43	0.4547477227
44	0.4529828103
45	0.4521562292
46	0.4504653671
47	0.4492662273
48	0.4475930659
49	0.4458701653
50	0.4442001058
51	0.4430508239
52	0.4417990335
53	0.4409054776
54	0.440312574
55	0.4390272501
56	0.4378172665
57	0.4366649468
58	0.4360566188
59	0.4347787333
60	0.4339876658
61	0.4329862683
62	0.4325126783
63	0.4318097016
64	0.4308327788
65	0.4302953117
66	0.429453415
67	0.4285862093
68	0.4275216078
69	0.4268603699
70	0.4261198969
71	0.4255205873
72	0.424788035
73	0.423984343
74	0.4234908037
75	0.4226492899
76	0.4218656722
77	0.4212272926
78	0.4207179794
79	0.4199257775
