iter	Passed	Remaining
0	2	209
1	5	212
2	7	203
3	10	197
4	12	189
5	14	182
6	17	177
7	19	173
8	21	170
9	24	168
10	26	165
11	28	160
12	30	156
13	31	150
14	33	144
15	35	140
16	36	135
17	37	130
18	39	125
19	40	121
20	41	116
21	42	112
22	43	108
23	44	103
24	45	99
25	46	96
26	47	92
27	48	89
28	49	86
29	49	83
30	50	80
31	51	77
32	52	74
33	53	72
34	54	69
35	54	66
36	55	64
37	56	61
38	56	59
39	57	57
40	58	55
41	58	53
42	59	51
43	59	49
44	60	47
45	61	45
46	61	43
47	62	41
48	63	40
49	63	38
50	64	36
51	65	35
52	65	33
53	66	32
54	67	30
55	67	29
56	68	27
57	69	26
58	69	24
59	70	23
60	71	22
61	71	20
62	72	19
63	73	18
64	73	17
65	74	15
66	75	14
67	75	13
68	76	12
69	77	11
70	77	9
71	78	8
72	79	7
73	79	6
74	80	5
75	81	4
76	81	3
77	82	2
78	83	1
79	83	0
